Title,2ndTitle/use,archived,category,definition
Classroom Strategies Related to ADHD.,N/A,,EDUCATION,"""[[FNAME]]’s parents reported several symptoms of ADHD (i.e., distractibility, problems with sustained attention, restlessness, impulsivity), which were most prominent during unstructured situations. Given these difficulties, the following recommendations are provided to help set [[FNAME]] up for success in the classroom and at home. Many of these strategies may already be implemented by classroom staff.

Obtain [[FNAME]]’s eye contact before providing verbal directions 
Use visual checklists for complex and long-term assignments, both to ensure that [[FNAME]] attends to the rules of the assignment and to promote self-monitoring skills
Visual supports (e.g., checklists, graphic organizers, activity schedules) for classroom assignments, homework, and materials (e.g., worksheets, books, calculator) will help promote [[FNAME]]’s time-management and task organization skills. 
Color-coded folders, binders, book covers and bins (e.g., organized by subject) will also be helpful in facilitating [[FNAME]]’s organization of important assignments, handouts, and materials. 
Promote [[FNAME]]’s academic organization and home-based adaptive skills through the use of visual checklists for classroom assignments (particularly complex or long-term projects), personal care routines, and household chores. Complex or multi-step tasks should be broken up into step-by-step components, which [[FNAME]] will check off. Initially, [[FNAME]] may complete these checklists with guidance from [[HIS]] parents and teachers, which can be faded out over time and as [[HE]] becomes more successful in managing [[HIS]] own time and responsibilities. 
Visual checklists and activity schedules will be especially important for helping [[FNAME]] understand behavioral and social expectations during unstructured activities (e.g., lunch, recess). Aim to make these activities as structured as possible to help [[FNAME]] organize [[HIS]] times. For example, [[HE]] may use a personal checklist that outlines the rules of the game to be played
Use chunked instruction, in which information and assignments are broken up into step-by-step components and presented individually. Initially, [[FNAME]] should be encouraged to complete checklists outlining these steps with guidance from a teacher; this support can be faded out over time as [[FNAME]] becomes more successful in managing [[HIS]] own time and responsibilities
Conduct comprehension checks to ensure that [[FNAME]] has paid attention to all the key issues and task expectations
Provide verbal praise for following directions and especially for initiating or completing tasks independently
To provide incentive for appropriate behavior and independent adaptive skills, consider implementing a reward system, through which [[FNAME]] earns points for appropriate behavior (e.g., getting dressed in the morning, completing a list of chores at home, following classroom or house rules). These points may then be traded in for a predetermined reward (e.g., extra recess time, five minutes of a preferred activity). 
Despite [[FNAME]]’s low frustration tolerance in the face of challenging task and language demands, [[HE]] responded well when presented with simple, clear instructions and verbal encouragement. These strategies may help facilitate persistence during difficult tasks at home and at school. Additionally, providing him with initial opportunities to succeed (e.g., with easier items or with help from a teacher) before presenting more difficult items will likely foster [[HIS]] momentum to work and will help increase engagement
Allow preferential seating (e.g., at the front of the class, away from doors and windows) to reduce distractions in the classroom
Provide movement breaks throughout the day, during which [[FNAME]] can get up from [[HIS]] seat. To minimize disruption, these breaks can be incorporated into daily classroom activities (e.g., taking the attendance log to the office, watering the plants)
[[FNAME]]’s teachers have reportedly done an excellent job maintaining regular communication with [[HIS]] parents. We recommend that ongoing communication continue, either over the phone or via a notebook or email. Check-ins on a weekly basis will be essential for adequate monitoring of [[HIS]] ADHD symptoms across settings
"""
ADHD Assessment.,N/A,,EDUCATION,"""I provided [[FNAME]]'s {parent/caregiver:28140} with a hard copy of the Vanderbilt ADHD Diagnostic Teacher Rating Scale. I recommended that [[FNAME]]'s {parent/caregiver:28140} give this assessment to one of [[FNAME]]'s school team members in order to help confirm or rule out the possibility of an ADHD diagnosis. The Vanderbilt scale can be found at the following website. 

It is free and available for use by school personnel and healthcare professionals: http://www.brightfutures.org/mentalhealth/pdf/professionals/bridges/adhd.pdf
"""
Follow-up Autism Assessment:,N/A,,EDUCATION,"""I spoke with [[FNAME]]'s {parent/caregiver:28140} about the importance of obtaining autism-specific information from a member of [[FNAME]]'s school team who knows [[HIM]] well. In order to assist with confirming or ruling out the presence of an autism spectrum disorder, I would like for someone from [[FNAME]]'s school team (preferably, his teacher or counselor) to complete the [***, Asperger Syndrome Diagnostic Scale]. I will obtain a copy of this measure and mail a hard copy of it to [[FNAME]]'s home address; I spoke with [[FNAME]]'s {parent/caregiver:28140} about providing this to a member of his school team to then send back to me at my Kirch mailing address. Receiving information on this measure from a school team member would be a tremendous asset to clarifying his diagnosis."""
Assistive Technology Consultation.,N/A,,EDUCATION,"""The report from [[FNAME]]'s {parent/caregiver:28140} and school team indicate that [[FNAME]] has difficulty with hand-writing. Given [[HIS]] high intellectual and academic abilities, [[FNAME]]'s difficulties with hand-writing may prevent [[HIM]] from conveying the full extent of [[HIS]] knowledge during regular assignments and standardized assessments. I would recommend that an assistive technology consultation be sought out in order to determine an alternative way for [[FNAME]] to provide written responses for school-related work. One resource to consider when seeking an assistive technology consultation could be found here:

http://www.monroe2boces.org/exceptionalChildren.cfm?subpage=2282
"""
School Counseling Support:,N/A,,EDUCATION,"""[[FNAME]] may benefit from regular meetings with a school counselor or psychologist who could help [[HIM]] to utilize coping skills and relaxation techniques in the school setting. These meetings could focus on discussing current sources of anxiety at school and helping [[HIM]] to plan how to use some of the strategies [[HE]] has learned as part of [[HIS]] individual therapy in the community. This may help [[FNAME]] to more effectively modulate [[HIS]] reactions when [[HE]] encounters academic roadblocks or discovers that [[HE]] has made errors in [[HIS]] work.  Over time, a school counselor or psychologist can work to increase [[FNAME]]'s independent initiation of coping and relaxation techniques.  In addition, classroom staff could prompt [[FNAME]] to use these coping and relaxation strategies when [[HE]] appears frustrated or withdrawn. """
Functional Behavioral Assessment:,N/A,,MEDICAL,"""In order to address [[FNAME]]'s difficulties with ***, a Functional Behavioral Assessment (FBA) is recommended.  Such an assessment evaluates behaviors that interfere with learning and should include formal assessment of potential behavioral and environmental factors that may contribute to the occurrence of problem behavior.  Intervention recommendations from the FBA should emphasize the use of teaching of desired behavior and reinforcement programs to gradually shape compliant, adaptive and on-task behavior.  Some behavioral plans require consequences to occur in response to undesired behaviors.  Consultation from a clinician with expertise in behavioral assessment and intervention in children with developmental disabilities may be necessary given the intensity of the behavioral concerns.  For behavioral plans to be successful, they must be consistently implemented by all of the adults who interact with a child at home and at school.  Some behaviors are also seen at home, so behavioral support to the family to help modify these behaviors may be necessary from sources outside of the school. """
Functional Behavioral Assessment: ,FBA oppositional behavior variant,,EDUCATION,"""To address [[FNAME]]’s difficulties with oppositional behavior, work refusal, and tantrums, a Functional Behavioral Analysis (FBA) is recommended.  Such an assessment evaluates behaviors that interfere with learning and should include formal assessment of potential behavioral and environmental factors that may contribute to the occurrence of problem behavior.  Intervention recommendations from the FBA should emphasize the use of teaching of desired behavior and reinforcement programs to gradually shape compliant, adaptive and on-task behavior.  Some behavioral plans require consequences to occur in response to undesired behaviors.  Consultation from a clinician with expertise in behavioral assessment and intervention in children with developmental disabilities may be necessary given the intensity of the behavioral concerns.  For behavioral plans to be successful, they must be consistently implemented by all of the adults who interact with a child at home and at school.  Some behaviors are only seen at home.  Since [[FNAME]] has also shown an escalation of non-compliance and tantrums at home, behavioral support to the family to help modify these behaviors may be necessary from sources outside of the school."""
Behavioral Supports at School.,N/A,,EDUCATION,"""[[FNAME]]'s family reports that [[HE]] engages in challenging behaviors at school that seem to interfere is [[HIS]] ability to participate in daily activities.  Thus, the school team, may wish to consider using some of the following behavioral approaches in the classroom to improve participation and decrease challenging behaviors: 

Environmental Controls. Consider the classroom environment. Are there environmental triggers that set off specific challenging behaviors (proximity to certain children or activity areas)? If so, consider moving [[FNAME]] to an area of the classroom that minimizes these triggers. In addition, [[FNAME]] would benefit from a desk in a quiet section of the classroom, in order to help decrease distractions. 

Daily Schedule.. [[FNAME]] may also benefit from a regular daily schedule, so that [[HE]] can see what activities come next. It may be helpful to display [[FNAME]]'s activities in a visual schedule, with pictures that depict each activity. 

Reduced Demands at Difficult Times of Day.  There may be a time of day, when [[FNAME]] has more difficulties (such as in the morning or the afternoon). [[HE]] could be provided with fewer academic demands and shorter work periods during that period of the day. 

Break Work into Smaller Chunks.  [[FNAME]] has trouble sustaining long periods of independent desk work and would benefit from modified work assignments.  Breaking work sheets down into smaller parts, providing visual supports such as checklists that help structure multi-step tasks, visual cues to stop and ask for help would be useful.


Preferred Activities Following Non-preferred Tasks. Activities could be differentiated and identified according to preferred and non-preferred status. [[FNAME]]’s schedule should be developed where non-preferred activities are directly followed by preferred activities. 

Classroom Rules. [[FNAME]] would benefit from the establishment of clear, concise classroom rules that are tailored to [[HIS]] specific needs. For example, some behaviors that have interfered with [[FNAME]]’s success in the classroom include ***. It will be important for all team members to agree on the rules before they are presented to [[FNAME]]. Similarly, all team members should become familiar with these rules and prompt [[HIM]] to follow them in a similar manner across settings. 

Reinforcement System. To increase [[FNAME]]'s more adaptive behaviors, such as following the classroom rules, it may be helpful to implement a reward system. A reinforcement system should incorporate [[FNAME]]'s special interests (e.g., ***) and include rewards that are actually attractive and motivating to [[HIM]]. In order for a reinforcement system to work, it must be implemented consistently by all school personnel. In addition, frequent reminders about what [[HE]] is working for and what [[HE]] must do to earn the rewards will increase the likelihood that the system will be effective. 

Contingency Contract [[FNAME]]’s classroom rules and the associated rewards can be presented to [[HIM]] in the form of a Contingency Contract. This is a document that is drafted jointly by the team and [[FNAME]]. It states behavioral expectations for [[FNAME]] and associated rewards should [[HE]] follow the rules. The contract is discussed in a meeting with [[FNAME]], modified and signed by all parties involved (classroom teachers, [[FNAME]], school psychologist, etc). One benefit of a contingency contract is that it gives [[FNAME]] a more active role in [[HIS]] own behavioral progress. It will also show [[HIM]] that the educational team is working together and that all parties are aware of behavioral expectations and agree to implement the plan. 

Development of Coping Strategies. [[FNAME]] would benefit from the instruction in the development and utilization of appropriate coping strategies and relaxation techniques that can be initiated when [[HE]] shows early warning signs indicating frustration and anxiety. This may help [[FNAME]] to more effectively modulate [[HIS]] reactions when [[HE]] encounters academic roadblocks or discovers that [[HE]] has made errors in [[HIS]] work. Over time, the team can work to increase [[FNAME]]’s independent initiation of relaxation techniques. In addition, classroom staff could prompt [[HIM]] to use these coping and relaxation strategies when [[HE]] opts to take a break from lessons. Adults working with [[FNAME]] should be careful not to prompt [[HIM]] to use these skills independently until they have been learned and mastered by [[HIM]]. Assessment of [[FNAME]]’s level of mastery should be a part of the instructional process."""
Social Work (NDBP):,N/A,,OTHER,"""I encourage [[FNAME]]’s family to contact our social workers at (585) 275-2986 for information about local parent support groups, information, and resources."""
Developmental Disabilities Regional Office (DDRO).,N/A,,OTHER,"""Children over 3 may be eligible for DDRO case management and Medicaid Waiver services.  To qualify for such services, a child must have a diagnosis of a developmental disability along with documentation of cognitive and/or adaptive deficits. Families should gather reports such as this one to document diagnosis.  Cognitive abilities should be documented by preschool or school age psychological testing.  Adaptive abilities are evaluated in the form of testing such as the Vineland-II or other adaptive behavior scale. 

Access Team contact numbers can be found online at: http://www.opwdd.ny.gov/opwdd_contacts/ddro
Access to Services Resource Booklet: http://www.opwdd.ny.gov/welcome-front-door/resource-booklet 
Family Information Sessions could be helpful for [[FNAME]]'s family as they navigate the application process
"""
Kirch Website.,N/A,,OTHER,"""I recommended that [[FNAME]]'s family refer to the Kirch Center website and/or Facebook page for additional information about regional services, supports, events, and scientific information that may be of help. These resources can be accessed at the following addresses: 

http://www.Golisano.URMC.edu/Kirch  
https://www.facebook.com/kirchcenter
"""
Autism Speaks 100 Days 100 Kit.,N/A,,OTHER,"""I would recommend that [[FNAME]]'s {parent/caregiver:28140} use The Autism Speaks 100 Day Kit to help structure their next steps in determining [[FNAME]]'s care. The 100 Day Kit was created specifically for newly diagnosed families, to make the best possible use of the 100 days following the diagnosis of autism. The kit contains information and advice collected from trusted and respected experts on autism as well as from parents of children with autism. There is a week-by-week plan for the next 100 days, as well organizational suggestions and forms that caregivers can use to help with the paperwork and phone calls, as they begin to find services for their child.  Please see the following website for detailed information about the kit: http://www.autismspeaks.org/community/family_services/100_day_kit.php"""
Educational Resources.,N/A,,OTHER,"""Should [[FNAME]]'s family have questions about special education services, we recommend that they contact the following sources for additional information:

New York State Department of Education: http://www.vesid.nysed.gov/specialed/quality/qaparents.htm
Starbridge: www.advocacycenter.com
The Parent-Educator Resource Library: PERL@boces.monroe.edu"""
Educational Testing.,N/A,,OTHER,"""[[FNAME]]’s academic abilities remain a primary concern.  I would recommend education testing, in order to better characterize [[FNAME]]’s unique pattern of academic strengths and weaknesses, in order to determine specific supports to facilitate ongoing learning.  For more information about educational testing, please contact EnCompass, Resources for Learning at (585) 266-7277.  More information can be found on their website: www.encompassresources.org"""
Medication Decision Aid.,N/A,,OTHER,"""Since there were questions about the possibility and utility of using medication as a treatment for challenging behaviors, I would recommend that you consult the Autism Speaks medication decision aide, entitled, Autism: Should My Child Take Medicine for Challenging Behaviors.  This tool was designed to help parents and caregivers of individuals with autism spectrum disorders to help make decisions about whether medication might be an option for them.  This tool is helpful for parents who are considering medication for challenging behaviors or who simply want more information about which medications are used.  This decision aid may also help parents to better understand possible risks and benefits of using medication.  Please complete the decision aid and bring it with you to your next regularly scheduled office visit with a developmental pediatrician, nurse practitioner, or psychiatrist.  It may assist your health care provider in assisting you to make an informed decision about medication that matches your personal values, needs and goals for your child.  The medication decision aid can be accessed at the following website:

http://www.autismspeaks.org/science/resources-programs/autism-treatment-network/tools-you-can-use/medication-guide
"""
Reviewing Educational Placement Options.,N/A,,OTHER,"""I recommend that [[FNAME]]'s {parent/caregiver:28140} reach out to Beth Grier-Leva at the Regional Early Childhood Direction Center to review potential educational placement options for [[FNAME]]. Beth can be reached at (585) 249-7817 or beth_grier-leva@boces.monroe.edu
"""
Rochester Child First Network.,N/A,,OTHER,"""Services to students with severe language delays who may be on the autism spectrum include a play based relationship building approach to development using many of the ideas suggested in the DIR/floortime model.  RCFN meets regularly to discuss program needs for each student. Goals and strategies are identified using the guidance of SCERTS (“Social Communication Emotional Regulation and Transactional Supports” http://www.scerts.com ) concepts. The SCERTS team is lead by a school psychologist and provides a strong opportunity for professional development and student specific progress monitoring. 

http://rcn4kids.org/special-education/autism/

AUTISM WOMEN'S NETWORK: 

Women with Autism: http://autismwomensnetwork.org/wp-content/uploads/2015/05/Autistic_Women.pdf

Parents: http://autismwomensnetwork.org/wp-content/uploads/2015/05/Parent_Packet.pdf
"""
Adaptive Skills at Home.,N/A,,OTHER,"""Given [[FNAME]]'s need for a high level of support to complete personal care routines (e.g., hygiene), we discussed the following recommendations:

Use visual checklists to outline what [[FNAME]] needs to complete for [[HIS]] self every day. Separate checklists can be used for various times of day and would list all the steps to each hygiene/personal care routine. For example, write out each step of the shower routine. To get [[HIS]] involved, create these lists collaboratively with [[FNAME]]
A list of chores that [[FNAME]] is expected to do around the house can be posted
Consider using a rewards chart. For example, [[she]] can earn points for getting [[HIS]] self ready, showering when asked, and doing chores. These points can be exchanged for small rewards or privileges 
Helpful resources:
Taking Care of Myself: A Hygiene, Puberty and Personal Curriculum for Young People with Autism, by Mary Wrobel
Making Sense of Sex: A Forthright Guide to Puberty, Sex, and Relationships for People with Asperger’s Syndrome, by Sarah Attwood"""
Safety Recommendations.,N/A,,OTHER,"""Since [[FNAME]] has a history of impulsive behaviors, little understanding of danger and a history of bolting and elopement (running away), preventative safety strategies are recommended.  [[FNAME]]'s parents may wish to consider the following:

Hiring a locksmith to install special childproof locks at a height that is not reachable by [[FNAME]].  Please take into account how high [[FNAME]] can reach when standing on a chair or other pieces of furniture located near the door.
Consider giving [[FNAME]] an identification bracelet or necklace to wear, so that others know what to do if they find [[FNAME]] in the community.  The identification piece should include name, parent and other emergency contact numbers, diagnosis, and whether [[FNAME]] is verbal or nonverbal.  Sites that sell identification jewelry include:
www.medicalidstore.com
www.mypreciouskid.com/medical-id-bracelent.html
Alert neighbors that [[FNAME]] sometimes runs away from home.  It may be helpful to provide neighbors with an information sheet including [[FNAME]]'s name, your contact information, activities and foods that [[FNAME]] likes (in case there is a wait before you can pick [[HIM]] up), and things that [[FNAME]] is afraid of.  You could also include strategies for basic communication.
Since [[FNAME]] often runs towards water, you may wish to consider enrolling [[HIM]] in a swim class at a local Y or other community organization.  This should not be considered a first line preventative strategy to prevent drowning.  Instead, close supervision, childproof locks, familiarity with the location of pools and ponds in the area are more effective.  The primary goal is to insure that [[FNAME]] is never near water while unsupervised.
Visit the AWAARE website for the Big Red Safety Box, available for free download at awaare.nationalautismassociation.org
"""
Strategies to Promote Peer Relationships.,N/A,,OTHER,"""[[FNAME]] would benefit from direct instruction in social skills, as well as exposure to social situations that both focus on [[HIS]] interests, and include similarly-aged peers who share those interests. This may be accomplished through the following avenues:

Goals related to promoting social engagement should be incorporated into [[FNAME]]’s updated IEP. For example, these goals may include maintaining conversation or play with peers, responding to social approaches, and participating in group games.


Facilitated recess is often effective in promoting peer interactions for children who are overwhelmed during unstructured time, as it promotes organized group play and sets clear expectations for students. Specifically, facilitated recess involves a) pre-selecting and pre-teaching group games to students, b) clearly communicating the rules of play, and c) teacher presence, to monitor student behavior and encourage cooperative play. This approach can be especially useful for children with ASD who are in the regular education environment because it is geared toward the entire class and is therefore less stigmatizing.



Peer mentorship programs are especially helpful in supporting children with social difficulties in the natural environment while teaching appropriate social skills. For [[FNAME]], working with a kid in [[HIS]] class would be ideal. This individual’s role may include ensuring [[FNAME]] is included in group games, helping [[HIM]] sustain conversations with peers (i.e., by asking him direct questions), and providing classroom assignment/homework help as necessary.

In addition to school-based supports, [[FNAME]] would benefit from participation in structured social skills groups, which focus on explicitly teaching the unspoken social rules and provide practice applying those skills. The following groups may be a good fit for [[FNAME]]. This information is provided for parents to investigate further.


ASSET: http://www.assetrochester.com/ 
AutismUp Boy’s Club: http://autismup.org/classes/boys-club/ 
Center for Social Intelligence: http://www.csi-roc.com/ 
Social Endeavors: http://socialendeavors.net/ 


Structured play dates would involve coordinated, one-on-one interactions between [[FNAME]] and a friend in the context of a time-limited activity. For example, a friend may be invited to bake cupcakes, go to the Science Museum, or play an outdoor game. Parent facilitation of these activities will be important for organizing the interaction and promoting [[FNAME]]’s attention, while the involvement of [[FNAME]]’s interests will help encourage social engagement.  
Continued participation in organized groups (e.g., summer camp) that are based on [[FNAME]]’s interests and strengths will help provide a comfortable environment in which [[HE]] can interact with peers.
Group speech and language sessions can be beneficial for teaching social rules and providing ongoing practice for engaging with peers.
The Lunch Bunch program provides regular opportunities for adult-facilitated conversation among children with a variety of social needs.
"""
Anxiety:,N/A,,OTHER,"""It is normal for children and adolescents to experience some form of anxiety during the course of their development.  However, when worrying becomes constant and begins to interfere with daily activities, this may be a sign of an underlying anxiety disorder.  A childhood anxiety disorder may involve some of the following symptoms: worrying about things before they happen, worrying about the safety of parents and others, refusing to go to school, clinging to parents, frequent stomach aches, headaches, or other physical symptoms, fatigue and irritability, or difficulty sleeping.

[[FNAME]]’s anxiety negatively affects ability to use some already mastered skills.  [[FNAME]]’s {parent/caregiver:28140} is encouraged to speak to their pediatrician about treatment options. Typically, cognitive-behavioral approaches have been found to be highly successful. If behavioral approaches are either unsuccessful or insufficiently successful, pharmacological treatment as an adjunct is helpful as well. However, I recommend use of non-pharmacological treatment first as this is helpful in developing needed skills.
"""
Anxiety.,another anxiety variant,,OTHER,"""Anxiety was discussed with the family.  We discussed that some degree of anxiety is normal. An anxiety disorder diagnosis is considered when worrying becomes constant and interfere with daily activities. Anxiety symptoms in children may include extreme difficulty separating from parents, excessive fear of an object or situation, excessive shyness or concern about social embarrassment, or uncontrollable worry about daily events. 

We discussed potential treatments including therapy, cognitive-behavioral therapy, self-regulation treatments, and medication.  We discussed the importance of information and resources for families and I recommended the family look at the resources on anxiety available in the family resource center at the Kirch Developmental Services Center Website: www.Golisano.URMC.edu/Kirch"""
Anxiety.,anxiety resources,,OTHER,"""Aureen Wagner has written extensively about childhood anxiety. She has written books for both children and parents, which could help explain to children what they are feeling as well as some strategies to overcome it and to parents for how to be appropriately supportive while still encouraging their child to try new things.

The following resources may be helpful for better understanding your child's symptoms of anxiety, and for developing treatment strategies that can be used at home:

Web resources
National Institute of Mental Health:
http://www.nimh.nih.gov/health/topics/anxiety-disorders/index.shtml

Anxiety Disorders Association of America:
http://www.adaa.org/

Books for parents of children with anxiety:

Swedo, S.A. & Leonard, H.L. (1998).  Is it just a Phase? How to tell childhood phases from more serious problems.  Broadway Books.

Wagner, A.P. (2005).  Worried no more: Help and hope for anxious children.  Lighthouse Press Inc.

Last, C.G. (2005)  Help for worried kids: How your child can conquer anxiety and fear.  Guilford Publications, Inc.
"""
Apraxia:,N/A,,OTHER,"""We discussed Childhood Apraxia of Speech (CAS) as a potential etiology of [[NAME]]'s speech difficulties.  CAS is a motor speech disorder characterized by difficulty with motor planning for speech production.  Children with CAS may have difficulty saying sounds and words because their brain have difficulty planning and coordinating the movements of the lips, tongue, jaw, and other facial muscles.  A child with CAS usually knows what he or she wants to say, but struggles to say it due to difficulty with planning and coordinating the oral motor movements.  Muscle weakness or paralysis is not a characteristic of CAS.  Some children with CAS have little or no functional speech, whereas other children are verbal but have problems with intelligibility.   

Further evaluation with a speech language pathologist with specialized knowledge and experience in CAS has been recommended.  This may be available through the school setting, through our center, or through other specialized speech and language programs in the community.  It is often difficult to accurately diagnose CAS until a child is school age or has developed some speech.  It is important to have an accurate diagnosis, as children with CAS tend to do better with intensive, frequent, and individualized therapy that focuses on planning, sequencing, and coordinating the production of speech.  

More information on apraxia is available on the Kirch website: http://www.urmc.rochester.edu/childrens-hospital/developmental-disabilities/conditions/Childhood-Apraxia-of-Speech-CAS/General-Overview-of-Childhood-Apraxia-of-Speech.aspx
"""
Recommendations to Address Selective Mutism.,N/A,,OTHER,"""1)	Individual therapy with a child psychologist: I recommend that [[FNAME]] meet with a child psychologist regularly to address [[HER]] selective mutism, with the goal of helping [[HER]] to become more comfortable speaking in a variety of social situations. There are a number of behavioral therapeutic approaches that have been found to be effective for children with selective mutism. They include:

•	Contingency management: Providing positive reinforcement (reward) immediately after [[FNAME]] uses a communicative behavior

•	Shaping: Initially reinforcing non-speech communicative behaviors (e.g., nodding, pointing) to eventually build up to or “shape” verbal communication

•	Stimulus fading: Gradually adding or “fading in” the number of people that [[FNAME]] will speak in front through structured social situations

•	Self-modeling: Creating video and/or audio tapes of [[FNAME]] speaking, then playing them for [[HER]] to allow [[HER]] to gradually become more comfortable with hearing [[HER]] self speak in different situations

•	Systematic desensitization: Gradually exposing [[FNAME]] to successively more anxiety-provoking situations, while simultaneously providing relaxation exercises to help manage anxiety

In addition to these behavioral strategies, a child psychologist can work with [[FNAME]] on improving [[HER]] social and communication skills and on building coping mechanisms for anxiety. Given [[FNAME]]’s reluctance to speak to strangers, it will be important for the therapist to work closely with [[FNAME]]’s parents in creating and implementing an intervention plan. 

2)	Social skills training: In addition to individual psychotherapy, [[FNAME]] may benefit from participation in a social skills group, to help foster social and communication skills within a group social situation with [[HER]] peers.

3)	Resources for selective mutism: The following websites provide general information about selective mutism for families.

http://www.asha.org/public/speech/disorders/selectivemutism.htm

http://www.selectivemutism.org
"""
House rules and star chart.,N/A,,OTHER,"""[[FNAME]]'s behaviors are sometimes difficult to manage at home.  I would recommend the implementation of simple house rules.  [[FNAME]]’s *** may want to choose three to four rules for the house (e.g., keep hands to self, touch all pets softly, etc).  These rules should be posted in a highly accessible area, such as on the refrigerator and reviewed with [[FNAME]] several times a day.  [[FNAME]] should be given small rewards, praise or stars on a star chart for following house rules and engaging in more appropriate behavior. A certain number of stickers could earn [[FNAME]] rewards."""
Asperger's...What Does It Mean To Me?,N/A,,OTHER,"""Helpful, non-technical and very readable information for families and children can be found in workbook format at the following:  Faherty, C.  Arlington, TX: Future Horizons Press"""
Understanding Behavior.,N/A,,OTHER,"""I would encourage [[FNAME]]’s {parent/caregiver:28140} to read The Explosive Child by Ross Greene in order to understand the relationship between [[FNAME]]'s current language and coping skills and [[HIS]] emotional and behavior regulation abilities."""
Picky Eating.,N/A,,OTHER,"""The following book provides strategies for dealing with food refusal and limited food choice:  Satter, E.  (1987). How to get your kid to eat but not too much.  Berkeley, CA: Bell Publishing Company."""
Sleep.,N/A,,OTHER,"""[[FNAME]] has problems sleeping effectively and through the night, so [[HIS]] {parent/caregiver:28140} may find it useful to review the following resource: Owens, J. & Mindell, J. (2005). Take charge of your child's sleep. New York: Marlowe and Company.  

This book provides information about appropriate sleep routines, sleep hygiene, charts for how to track and monitor sleep and when to seek additional help.  Sleep habits and charting will be necessary if further help is required, so this book can aid families getting started.
"""
Teaching Flexible Thinking and Behavior:,N/A,,OTHER,"""Many of [[FNAME]]’s difficulties with rigid thinking and patterns of behavior seem to pose an obstacle to [[HIS]] success at school and at home. Research has shown that flexibility and goal setting are skills that can be taught, and one way to do this could involve using an evidence-based curriculum such as, Unstuck and On Target! An Executive Function Curriculum to Improve Flexibility for Children with Autism Spectrum Disorders, Research Edition, Cannon, L., Kenworthy, L., Alexander, K., Werner, M., Anthony, L., and Robinson, J. (2011). Baltimore, MD: Brookes Publishing. “Unstuck and On Target!” is a guide for educators to use as a classroom based intervention for students ages 8 to 11 years old. 

A description of this curriculum can be found at: http://products.brookespublishing.com/Unstuck-and-On-Target-P467.aspx 

A companion problem-solving guide called, Solving Executive Function Challenges, was recently released (2014) by the same authors and is designed for use by caregivers, educators, and therapists with children in grades K-8. This problem-solving guide includes specific examples; worksheets that break down tasks into small, achievable chunks, key words and phrases that help kids stay on target; and reproducible visual aids. 

A description of this companion guide to “Unstuck and On Target!” can be found at:
http://products.brookespublishing.com/Solving-Executive-Function-Challenges-P757.aspx
"""
Haircuts.,N/A,,OTHER,"""Pigtails & Crewcuts is kid-centric salon located in the new Market Commons in Henrietta. They provide a fun, stress-free haircut experience for kids and parents. Walk-ins are welcome or call 585-424-KIDS (5437). More information about Pigtails & Crewcuts can be found at http://www.pigtailsandcrewcuts.com/rochester/
"""
Travel:,N/A,,OTHER,"""http://www.magicalstorybooktravels.com/"""
Parent Support.,N/A,,OTHER,"""Parent support and information is an important part of comprehensive care of children with Autism Spectrum Disorder.  

The Rochester Regional Center for Autism Spectrum Disorders (Parent support groups, information and resources) 585-273-1613.
Continuing Developmental Services (Autism Family Support Program & Asperger Support Group) Contact: Sheri Zagata 585-224-0960 x 6267.
Parent to Parent of New York State - http://www.parenttoparentnys.org/. I recommended that Brad’s parents reach out to Parent to Parent of New York State (http://www.parenttoparentnys.org/), which may be able to connect them with a family in their area who knows more about local resources and supports.
AutismUp - This is a local support group in Rochester that has a lot of great recreational programs for children with autism spectrum disorders.
Managing Autism Together Today (MATT) - They have events for families of children with autism like monthly family fun nights, mom's and dad's night out, and annual informational and recreational events.
"""
Parent Support.,N/A,,OTHER,"""Parent support and information is an important part of comprehensive care of children with developmental differences.  I recommended that [[FNAME]]’s {parent/caregiver:28140} reach out to Parent to Parent of New York State (http://www.parenttoparentnys.org/), which may be able to connect them with a family in their area or school district who knows more about local resources and supports."""
Web-Based Support for Girls and Women with Autism.,N/A,,OTHER,"""Autism spectrum disorder often presents differently in females compared to males, so there are many web-based resources that provide information on autism from a female perspective. Note that Kirch Developmental Services Center or URMC does not endorse any program or website, but we provide information for parents to investigate further.
  
Autism Women’s Network (AWN) at http://autismwomensnetwork.org/ - Their goal is to dispel stereotypes and misinformation surrounding an autism spectrum diagnosis. This group shares information to build acceptance and understanding.
http://autismwomensnetwork.org/wp-content/uploads/2015/05/Parent_Packet.pdf
Amaze at http://www.amaze.org.au/girls-and-women-on-the-autism-spectrum/
Tania Marshall, M.Sc. - http://www.taniamarshall.com/index.html"""
Web-Based Information.,N/A,,OTHER,"""The reliability of web-based information can be difficult to determine.  Some reliable sites of general interest may include:


Autism speaks - http://www.autismspeaks.org 
Centers for Disease Control & Prevention - www.CDC.gov
American Academy of Pediatrics - www.AAP.org
"""
Coordinated Adult Health Care.,N/A,,OTHER,"""I discussed with [[FNAME]] and his parents the importance of connecting with a health care provider that can provide continuity as he transitions to the adult health care system. One option could include the Complex Care Center, which is affiliated with the University of Rochester Medical Center. More information can be obtained by calling (585) 276-7900 or going to their website at https://www.urmc.rochester.edu/primary-care/practices/complex-care-center.aspx. 
"""
